Arrival_Rate (req/us), AVG (us), STDDev, 50th (us), 90th (us), 95th (us), 99th (us), Req/time_unit
0.0004, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.0004088259878866738
0.0008, 999.9999999999999, 999.4998749374608, 1000, 1000, 1000, 1000, 0.0007845781303269772
0.0012000000000000001, 1000, 999.4998749374608, 1000, 1000, 1000, 1000, 0.0012005120173931945
0.0016, 1000, 999.4998749374611, 1000, 1000, 1000, 1000, 0.0015868852039963718
0.002, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.0020092411126017037
0.0024000000000000002, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.0023978364587208117
0.0028000000000000004, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.0028084179045130353
0.0032, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.0031745324383564777
0.0036000000000000003, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.0036123969617091415
0.004, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.003970496783993074
0.0044, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.004392176026870664
0.0048000000000000004, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.004822989295816347
0.005200000000000001, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.00521956032707603
0.005600000000000001, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.005582144752347645
0.006, 1000.0015475756193, 999.5014905477997, 1000, 1000, 1000, 1000, 0.005991090518896688
0.0064, 1000.0021815940639, 999.5022091497933, 1000, 1000, 1000, 1000, 0.00641028292315584
0.0068000000000000005, 1000, 999.499874937461, 1000, 1000, 1000, 1000, 0.006790896435123111
0.007200000000000001, 1000.0016573237792, 999.5015718014414, 1000, 1000, 1000, 1000, 0.007134589938844979
0.007600000000000001, 1000.024258582955, 999.5254525650258, 1000, 1000, 1000, 1000, 0.007600999927303408
0.008, 1000.0055291040114, 999.5056325117984, 1000, 1000, 1000, 1000, 0.007967299205637176
0.0084, 1000.0306446818993, 999.5326094374992, 1000, 1000, 1000, 1000, 0.008450139041725622
0.0088, 1000.0610706939286, 999.5656603071687, 1000, 1000, 1000, 1000, 0.008787176925588279
0.0092, 1000.1111655372563, 999.6180104431545, 1000, 1000, 1000, 1000, 0.009214280283959497
0.0096, 1000.1417866525478, 999.6519546284972, 1000, 1000, 1000, 1000, 0.009596527991534806
0.01, 1000.2456819506212, 999.7623051506293, 1000, 1000, 1000, 1000, 0.010031862332748599
0.0104, 1000.4046699601403, 999.9311284756315, 1000, 1000, 1000, 1000, 0.010406995296717616
0.0108, 1000.6381758041852, 1000.1856465051846, 1000, 1000, 1000, 1000, 0.010811215753950072
0.0112, 1000.9907497265283, 1000.562550585326, 1000, 1000, 1000, 1014.1245037727058, 0.011201696691820945
0.0116, 1001.5045067305452, 1001.119855624577, 1000, 1000, 1000, 1051.1955450451933, 0.011587456995169061
0.012, 1001.9704598006768, 1001.6334600438151, 1000, 1000, 1000, 1077.3071962967515, 0.012003377515775319
0.0124, 1002.8507342553944, 1002.5814960542264, 1000, 1000, 1000, 1112.1964279580861, 0.012392565765255388
0.0128, 1003.9274543244935, 1003.7475944246416, 1000, 1000, 1000, 1142.0396776329726, 0.01279588463500402
0.0132, 1005.9127637005339, 1005.9308306589688, 1000, 1000, 1013.9889392685145, 1180.4393803847488, 0.01325465956018525
0.0136, 1007.3431650940802, 1007.4828353287253, 1000, 1000, 1040.7277530021966, 1201.445047872141, 0.013618666887323114
0.014, 1009.7604620265244, 1010.1552723578864, 1000, 1000, 1071.3972996391822, 1232.1208705194294, 0.013935095331863217
0.0144, 1012.3269454356409, 1012.9707290540515, 1000, 1005.6626094579697, 1098.7029983750544, 1259.0008195377886, 0.014358928668140581
0.0148, 1016.8840449624001, 1018.0325261182438, 1000, 1043.2335794195533, 1138.001992793288, 1299.49699235335, 0.014746078482653654
0.0152, 1021.5803092820063, 1023.3079545652482, 1000, 1075.6164437560365, 1167.4298049183562, 1329.74903711956, 0.015157898326922528
0.0156, 1028.455473700123, 1031.1247224378562, 1000, 1110.0123094502487, 1202.1043064831756, 1385.6177798468852, 0.015571759442189248
0.016, 1035.228434125392, 1038.5227724593099, 1000, 1142.865795634687, 1233.5156718567014, 1421.3086551520973, 0.015981590034957544
0.0164, 1043.6422861918463, 1047.884776895591, 1000, 1174.5282476115972, 1271.5953481942415, 1456.6960211154073, 0.016407937273668616
0.016800000000000002, 1055.1595179637452, 1061.410965950061, 1000, 1207.5045919381082, 1307.6447619413957, 1540.5639900267124, 0.01671549458755543
0.017200000000000003, 1077.7134360515997, 1086.540865380681, 1000, 1278.390113947913, 1390.4530963441357, 1616.4387262417004, 0.017206127520574568
0.0176, 1100.186194835555, 1113.4204373014963, 1000, 1332.3877752632834, 1462.561215000227, 1768.6412113918923, 0.017549898322620824
0.018000000000000002, 1151.8129466425037, 1174.0300766593914, 1023.7023602696136, 1471.726553728804, 1649.2658318150789, 1991.240941980388, 0.01802851937914847
0.018400000000000003, 1185.4437186822736, 1212.369386144619, 1072.1926415702328, 1532.434041730594, 1715.4620905220509, 2089.3614013912156, 0.018348992197721948
0.0188, 1293.0191980001125, 1346.2341723547413, 1154.7106939791993, 1828.977490004152, 2107.711607293226, 2602.522410457954, 0.018772177700326607
0.019200000000000002, 1472.8294684596672, 1588.7830977346946, 1286.0913258893415, 2188.8398558199406, 2735.144116949872, 3810.847549488768, 0.019156089746473013
0.019600000000000003, 2673.303256828206, 3148.572788225066, 2075.6146952062845, 5390.053411647677, 6177.864901901223, 7317.446816297248, 0.019680897837674696
0.02, 15736.745862300579, 17734.768547473366, 13692.828473399393, 31577.47923521325, 34606.795776618645, 36124.16701662727, 0.019990887697551665
0.0204, 96397.15235279717, 110624.4287291132, 92882.49290744215, 172550.8453318961, 179701.38768079877, 192127.00641875528, 0.019995362414531315
0.020800000000000003, 190610.9826783487, 221981.9896783882, 181498.50367498025, 349133.4729969483, 372406.4931760486, 388065.40167606995, 0.01999477608083519
